AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,6.709,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,15.579,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,0.521,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,6494.063,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,16800.469,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,12236.595,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,6.395,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,26.391,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,88.059,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,11.675,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,45.906,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,102.298,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,3817.546,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,9160.447,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,100.654,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,12.274,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,12.717,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,6.874,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,7.816,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,60.325,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,155.408,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,53.217,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,5.302,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,9.439,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,4.076,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,2817.745,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,471.92,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,1976.54,6,Millions
